Ticker,YEAR,Environmental ,Social,Governance,ESG_score,GVKEY,Address Line 1,Postal Code,City,Mining,Construction,Manufactuing,Transportation Public Utilities,Wholesale Trade,Retail Trade,Services,SIC code,Company Name,CIK Number,Country Code,Current Assets,Assets,Cash,Inventory,Current Marketable Securities,Current Liabilities,Liabilities,"Property, Plant and Equipment",Preferred/Preference Stock,Allowance for Doubtful Receivables ,Total Receivables ,Stockholders Equity,Cost of Goods Sold,Dividends - Preferred/Preference,Dividends ,Earnings Before Interest and Taxes,Earnings Per Share (Basic),Net Income (Loss),Net Income Adjusted for common stocks,Sales/Turnover (Net),Interest and Related Expense,Common Shares Outstanding,Total Debt Including Current,Price Close - Annual -,Net receivables,Total assets last year ,Net receivables last year,Inventory last year,Stockholder equity last year,Cost of Goods Sold last year,Common shares outstanding last year,Working capital,Current ratio,Quick ratio,Accounts receivable turnover,Average days to collect receivables,Inventory turnover,Average days to collect inventory,Debt to assets,Debt to equity,Number of times interest is earned,Net margin (or return on sales),Asset turnover ratio,Return on investment,Return on equity,Earnings per share,Book value per share,Price-Earnings (P/E) ratio,Dividend yield
TSCO,2019,12.866,17.3821,87.477,39.3019,29736,5401 Virginia Way,37027,Brentwood,0,0,0,0,0,1,0,5200,TRACTOR SUPPLY CO,916365,USA,1787.887,5289.268,84.241,1602.781,0,1247.6,3722.145,3352.758,0,0,0,1567.123,5480.161,0,162.699,746.162,4.7,562.354,562.354,8351.931,19.843,118.165,2709.166,93.44,0,3085.26,4.11,1589.54,1561.82,5208.52,121.83,540.287,1.433061077,0.067522443,4064.2,0.089808572,3.433339567,106.3104866,0.703716469,2.37514541,37.60328579,0.067332213,1.994603397,0.134301062,0.359453017,4.75905725,13.26215885,19.63414077,1.741213613
CTRN,2019,0,13.2104,87.477,33.6284,163051,104 Coleman Boulevard,31408,Savannah,0,0,0,0,0,1,0,5651,CITI TRENDS INC,1318484,USA,201.207,459.145,19.923,138.258,27.562,150.862,288.101,234.839,0,0,1.186,171.044,484.74,0,3.765,18.962,1.41,16.503,16.503,781.925,0.158,10.834,178.26,23.29,1.19,297.99,0,139.84,187.43,476.33,12.16,50.345,1.333715581,0.322619347,1314.159664,0.277744029,3.486109213,104.7012522,0.627472803,1.684367765,120.0126582,0.021105605,2.065483698,0.043593283,0.092073623,1.523260107,15.78770537,15.28957523,0.161657364
URG,2019,0,10.9734,84.979,32.0491,165637,"10758 West Centennial Road, Suite 200",80127,Littleton,1,0,0,0,0,0,0,1090,UR ENERGY INC,1375205,CAN,8.659,90.39,7.752,0,0,2.283,46.057,66.842,0,0,0.022,44.333,25.862,0,0,-8.289,-0.05,-8.418,-8.418,32.255,0.668,160.478,12.227,0.5885,0.02,100.36,0.03,1.84,51.85,6.86,159.73,6.376,3.79281647,3.405168638,1290.2,0.282901876,28.11086957,12.98430129,0.509536453,1.03888751,-12.40868263,-0.260982793,0.33819135,-0.088262123,-0.175041327,-0.052455788,0.276255935,-11.21897161,0
SPWH,2020,0,13.2104,84.979,32.7935,16009,"1475 West 9000 South, Suite A",84088,West Jordan,0,0,0,0,0,1,0,5940,SPORTSMANS WAREHOUSE HLDGS,1132105,USA,324.653,660.818,65.525,243.434,0,227.428,456.158,334.38,0,0,0.581,204.66,953.484,0,0,132.747,2.1,91.38,91.38,1451.767,3.506,43.623,264.31,17.52,0.58,616.64,1.72,275.51,110.27,570.45,43.3,97.225,1.427497933,0.290667816,1262.406087,0.289130418,3.674708639,99.32760277,0.69029294,2.228857618,37.86280662,0.062943985,2.272899774,0.143065369,0.580319436,2.094766522,4.691561791,8.363700591,0
HVT,2020,7.067,25.1209,87.477,39.9457,5523,"780 Johnson Ferry Road, Suite 800",30342,Atlanta,0,0,0,0,0,1,0,5712,HAVERTY FURNITURE,216085,USA,316.244,680.372,200.058,89.908,6.713,204.041,427.405,337.115,0,0,0,252.967,311.051,0,50.521,39.405,3.18,59.148,59.148,748.252,0.391,18.212,233.666,27.67,0,560.07,1.37,104.82,260.5,347.21,19.11,112.203,1.549904186,1.013379664,1092.338686,0.334145448,3.194722896,114.2509106,0.628193106,1.689568205,100.7800512,0.079048235,1.206428031,0.095366007,0.230386763,3.247748737,13.89012739,8.519747751,1.82584026
KSS,2019,26.941,23.3978,84.979,45.1564,25283,N56 W17000 Ridgewood Drive,53051,Menomonee Falls,0,0,0,0,0,1,0,5311,KOHL'S CORP,885639,USA,4649,14555,723,3537,0,2769,9105,9743,0,0,15,5450,12140,0,423,1099,4.39,691,691,19974,207,156,6124,42.75,15,12469,29,3475,5527,12199,163,1880,1.678945468,0.26652221,907.9090909,0.402022629,3.462635482,105.4110379,0.625558227,1.670642202,5.309178744,0.034594973,1.478241563,0.051139728,0.125899608,4.429487179,34.93589744,9.651230101,9.894736842
SPWH,2019,0,13.2104,84.287,32.5621,16009,"1475 West 9000 South, Suite A",84088,West Jordan,0,0,0,0,0,1,0,5940,SPORTSMANS WAREHOUSE HLDGS,1132105,USA,291.638,616.641,1.685,275.505,0,264.776,506.373,323.287,0,0,1.716,110.268,570.448,0,0,33.464,0.47,20.215,20.215,886.401,7.995,43.296,281.458,6.48,1.72,388.9,0.25,276.6,78.66,545.95,42.98,26.862,1.101451793,0.01284482,899.8994924,0.405600851,2.066447505,176.6316343,0.821179584,4.592202634,4.18561601,0.022805705,1.763033034,0.040207212,0.213996867,0.466902254,2.546840355,13.87870789,0
HVT,2019,7.067,15.4776,87.477,36.7367,5523,"780 Johnson Ferry Road, Suite 800",30342,Atlanta,0,0,0,0,0,1,0,5712,HAVERTY FURNITURE,216085,USA,204.523,560.072,75.739,104.817,6.663,127.016,299.569,332.008,0,0.16,1.527,260.503,347.207,0,15.056,27.021,1.1,21.865,21.865,802.37,0.152,19.113,179.005,20.16,1.37,440.18,1.66,105.84,274.63,341.39,20.54,77.507,1.610214461,0.659515337,529.6171617,0.689177063,3.296420247,110.7261734,0.534875873,1.149963724,177.7697368,0.02725052,1.604335707,0.043718983,0.081718003,1.143985769,13.62962382,17.62259684,0.746825397
SCVL,2019,0,12.5756,84.979,32.5822,27938,7500 East Columbia Street,47715,Evansville,0,0,0,0,0,1,0,5661,SHOE CARNIVAL INC,895447,USA,329.647,628.374,61.899,259.495,0,122.506,331.011,282.788,0,0,2.724,297.363,707.882,0,4.947,54.209,2.97,42.914,42.851,1036.551,0.191,14.008,237.254,35.86,2.72,418,1.22,257.54,304.43,698.82,15.38,207.141,2.690864121,0.527508857,526.1680203,0.693694763,2.73823629,133.2974811,0.526773864,1.113154629,283.8167539,0.041400761,1.981224686,0.082024209,0.142620469,3.063535123,21.22808395,11.70543133,0.137953151
DLTR,2020,15.282,11.8198,84.979,37.4208,31587,500 Volvo Parkway,23320,Chesapeake,0,0,0,0,0,1,0,5331,DOLLAR TREE INC,935703,USA,5050.8,20696,1416.7,3427,0,3730.3,13410.7,10440.4,0,0,0,7285.3,16995.1,0,0,2185.2,5.68,1341.9,1341.9,25509.3,150.5,233.383,9639.9,101.66,0,19574.6,113.3,3522,6254.8,15981.5,236.73,1320.5,1.353992976,0.379781787,450.2965578,0.810576927,4.891380055,74.62106725,0.647985118,1.840788986,14.51960133,0.052604344,1.266894459,0.066644152,0.198211239,5.749776119,31.21606972,17.68068841,0
DG,2019,0,11.8198,84.979,32.3308,4016,100 Mission Ridge,37072,Goodlettsville,0,0,0,0,0,1,0,5331,DOLLAR GENERAL CORP,29534,USA,5177.868,22825.084,240.32,4676.848,0,4543.56,16122.584,12074.542,0,0,76.537,6702.5,18760.108,0,327.578,2333.304,6.68,1712.555,1712.555,27753.973,103.274,251.936,11696.481,153.41,76.54,13204.04,57.8,4097,6417.39,17367.04,259.51,634.308,1.139605948,0.069737607,413.1900104,0.883370824,4.276369502,85.35277409,0.706353764,2.405458262,22.59333424,0.061704859,1.54064101,0.095065037,0.261062402,6.797579544,26.60397879,22.5683273,2.135310606
DG,2020,0,11.8198,84.979,32.3308,4016,100 Mission Ridge,37072,Goodlettsville,0,0,0,0,0,1,0,5331,DOLLAR GENERAL CORP,29534,USA,6914.219,25862.624,1376.577,5247.477,0,5710.783,19201.386,13373.327,0,0,90.76,6661.238,22286.74,0,355.934,3721.765,10.7,2655.05,2655.05,33746.839,150.485,240.785,13590.442,194.61,90.76,22825.08,76.54,4676.85,6702.5,18760.11,251.94,1203.436,1.210730473,0.256941474,403.4290377,0.904743997,4.491335281,81.26759129,0.742437658,2.882555165,24.73180051,0.078675517,1.386257154,0.109064498,0.3973514,11.02664203,27.6646718,17.64907209,1.828960485
SFM,2020,37.421,23.3676,84.979,48.637,17934,"5455 East High Street, Suite 111",85054,Phoenix,0,0,0,0,0,1,0,5411,SPROUTS FARMERS MARKET,1575515,USA,465.96,2806.404,169.697,254.224,1.744,496.132,1925.111,1771.908,0,0,23.642,881.293,4088.394,0,0,400.5,2.44,287.45,287.45,6468.759,14.787,117.953,1466.692,20.1,23.64,2722.98,15.71,275.98,581.95,3739.03,117.54,-30.172,0.939185539,0.393207856,328.7806353,1.110162707,15.42196588,23.66754036,0.68597073,2.184416533,27.08460134,0.044436653,2.339775642,0.103971799,0.392894413,2.436987614,7.471560706,8.247887633,0
GO,2019,0,12.1221,87.477,33.2663,189579,5650 Hollis Street,94608,EmeryVille,0,0,0,0,0,1,0,5411,GROCERY OUTLET HLDNG CORP,1771515,USA,270.826,2185.529,28.101,219.42,0,208.627,1440.145,1096.845,0,1.302,9.852,745.384,1812.488,0,3.645,68.343,0.18,15.419,15.419,2559.617,47.94,89.005,1253.989,32.45,8.55,1376.86,7.13,198.3,299.95,1626.41,68.47,62.199,1.298134949,0.175677165,326.4817602,1.11797976,8.678004405,42.06036123,0.658945729,1.93208467,1.425594493,0.006023948,1.43702274,0.00865655,0.029500619,0.173237459,8.374630639,187.3151469,0.112326656
DLTR,2019,15.282,11.8198,84.979,37.4208,31587,500 Volvo Parkway,23320,Chesapeake,0,0,0,0,0,1,0,5331,DOLLAR TREE INC,935703,USA,4269.4,19574.6,539.2,3522,0,3546.5,13319.8,10106.8,0,0,113.3,6254.8,15981.5,0,0,1599.9,3.49,827,827,23610.8,164.2,236.727,10031,87.07,113.3,13501.2,100.9,3536,5642.9,15320.1,238.08,722.9,1.203834767,0.18398421,220.4556489,1.655661816,4.528620006,80.59850452,0.680463458,2.129532519,9.743605359,0.035026344,1.427678242,0.050006349,0.139018466,3.493475607,26.42199665,24.92360325,0
SCVL,2020,0,12.5756,84.979,32.5822,27938,7500 East Columbia Street,47715,Evansville,0,0,0,0,0,1,0,5661,SHOE CARNIVAL INC,895447,USA,355.305,642.747,106.532,233.266,0,130.901,332.571,267.964,0,0,7.096,310.176,681.983,0,5.097,19.865,1.14,15.991,15.991,976.765,0.412,14.105,231.416,46.99,7.1,628.37,2.72,259.5,297.36,707.88,14.01,224.404,2.714303176,0.868045317,198.9338086,1.83478114,2.767979122,131.8651565,0.517421318,1.072200944,48.21601942,0.016371389,1.536860887,0.025160548,0.052642148,1.13371145,21.99049982,41.44793634,0.108469887
SFM,2019,24.887,22.3398,84.979,44.1203,17934,"5455 East High Street, Suite 111",85054,Phoenix,0,0,0,0,0,1,0,5411,SPROUTS FARMERS MARKET,1575515,USA,387.839,2722.983,85.314,275.979,1.47,416.812,2141.031,1769.944,0,0,15.713,581.952,3739.028,0,0,218.56,1.25,149.629,149.629,5634.835,21.192,117.544,1735.253,19.35,15.71,1675.61,40.98,264.37,589.2,3456.2,124.98,-28.973,0.930489045,0.245907028,198.7946728,1.836065297,13.83930756,26.37415192,0.786281442,3.67905085,10.31332578,0.026554282,2.562107929,0.068034938,0.255524475,1.272961614,4.950929014,15.20077258,0
NGVC,2019,0,12.5756,74.895,29.2124,11922,12612 West Alameda Parkway,80228,Lakewood,0,0,0,0,0,1,0,5400,NATURAL GROCERS VITAMIN CTGE,1547459,USA,115.18,327.114,6.214,96.179,0,83.268,170.208,201.635,0,0.1,5.059,156.906,664.093,0,0,16.766,0.42,9.416,9.416,903.582,5.252,22.463,58.212,9.99,4.96,307.08,4.64,94.23,146.73,622.7,22.37,31.912,1.383244464,0.134181198,188.24625,1.938949647,6.975437085,52.32647009,0.520332361,1.084776873,3.192307692,0.010420748,2.849544461,0.029694384,0.062021631,0.419178204,6.985086587,23.83234601,0
PLAY,2019,0,12.5756,87.477,33.4172,60923,1221 Beltline Road,75019,Dallas,0,0,0,0,0,1,0,5810,DAVE & BUSTER'S ENTMT INC,1525769,USA,78.977,2370.139,24.655,34.477,0,290.865,2200.489,1912.205,0,0,2.331,169.65,985.205,0,20.615,148.079,3,100.263,100.263,1354.691,22.038,30.603,1915.354,44.16,2.33,1273.19,12.62,27.32,387.84,904.7,37.52,-211.888,0.27152459,0.092778437,181.2295652,2.014020171,31.88520478,11.44731553,0.92842192,12.97075744,6.719257646,0.074011712,0.743655596,0.055039224,0.359694344,3.276247427,5.543574159,13.47883546,0.466825181
DKS,2019,27.967,12.7267,84.979,41.9475,150139,345 Court Street,15108,Coraopolis,0,0,0,0,0,1,0,5940,DICKS SPORTING GOODS INC,1089063,USA,2410.016,6628.56,69.334,2202.275,0,2076.474,4896.962,3729.574,0,2.96,58.935,1731.598,5928.65,0,99.42,442.178,3.4,297.462,297.462,8750.743,17.012,83.547,3100.416,44.23,55.98,4187.15,41.14,1824.7,1904.16,5769.19,93.85,333.542,1.160629028,0.060347011,180.204757,2.025473723,2.944468242,123.9612623,0.738767093,2.828001649,25.99212321,0.033992771,1.618154148,0.055005543,0.163631353,3.560415096,20.72603445,12.42270882,2.247795614
DKS,2020,30.051,16.9891,91.24,46.1523,150139,345 Court Street,15108,Coraopolis,0,0,0,0,0,1,0,5940,DICKS SPORTING GOODS INC,1089063,USA,3759.65,7752.859,1658.067,1953.568,0,2550.198,5413.325,3450.178,0,2.661,59.545,2339.534,6188.512,0,110.83,916.477,6.29,530.251,530.251,9584.019,48.812,84.93,3150.471,67.01,56.88,6628.56,55.98,2202.28,1731.6,5928.65,83.55,1209.452,1.474258077,0.672477588,169.839075,2.149093194,2.978218645,122.5564821,0.698235967,2.313847544,18.77564943,0.055326581,1.332833568,0.073741124,0.260493022,6.243388673,27.54661486,10.73295345,1.653932249
ROST,2019,15.615,19.1959,84.979,39.9859,9248,5130 Hacienda Drive,94568-7579,Dublin,0,0,0,0,0,1,0,5651,ROSS STORES INC,745732,USA,3432.828,9348.367,1351.205,1832.339,10.235,2701.934,5989.118,5707.218,0,0,102.236,3359.249,11185.295,0,369.793,2146.182,4.63,1660.928,1660.928,16039.073,14.107,356.775,3487.9,112.19,102.24,6073.69,96.71,1750.44,3305.75,10395.92,368.24,730.894,1.270507718,0.541714194,161.2372254,2.26374523,6.243921269,58.45685496,0.640659272,1.782874089,152.1359609,0.103555112,2.080017341,0.215396429,0.498403076,4.655393455,9.415595263,24.09892979,3.296131563
DLTH,2019,0,11.7291,86.093,32.6728,26335,201 East Front Street,53572,Mount Horeb,0,0,0,0,0,1,0,5961,DULUTH HOLDINGS INC,1649744,USA,162.192,474.05,0.538,147.849,0,78.775,297.944,304.179,0,0,3.121,178.272,287.475,0,0,28.108,0.59,18.921,18.921,615.624,4.471,32.536,223.495,8.45,3.12,296.76,4.64,97.69,160.35,245.11,32.57,83.417,2.058927325,0.046448746,158.6659794,2.300430133,2.341583211,155.8774415,0.628507541,1.671288817,6.286736748,0.030734669,1.597343055,0.04909381,0.111752928,0.581540448,5.479223015,14.53037366,0
PSMT,2019,0,13.6034,87.477,33.7592,65343,9740 Scranton Road,92121,San Diego,0,0,0,0,0,1,0,5331,PRICESMART INC,1041803,USA,491.896,1296.411,102.653,331.273,17.099,407.454,498.132,671.151,0,0.144,20.52,797.351,2640.733,0,21.341,120.038,2.4,73.191,72.47,3223.918,6.055,30.539,89.586,60.43,20.38,1216.39,21.03,321.03,758,2602.88,30.46,84.442,1.207243026,0.343911215,155.7072205,2.344143058,8.096645271,45.08039908,0.384239257,0.624733649,19.82460776,0.0227025,2.565995477,0.058254514,0.09411509,2.396640362,26.10927011,25.21446312,0.353152408
NGVC,2020,0.332,12.5756,72.396,28.4881,11922,12612 West Alameda Parkway,80228,Lakewood,0,0,0,0,0,1,0,5400,NATURAL GROCERS VITAMIN CTGE,1547459,USA,143.413,681.792,28.534,100.175,0,129.15,508.726,527.264,0,0.1,8.519,173.066,752.908,0,6.301,27.749,0.89,20.009,20.009,1036.842,2.15,22.547,400.139,9.86,8.42,327.11,4.96,96.18,156.91,664.09,22.46,14.263,1.110437476,0.286124661,154.9838565,2.355083995,7.668844695,47.59517431,0.746160119,2.939491292,12.90651163,0.019298022,2.055386945,0.039664903,0.121275487,0.887435135,7.675788353,11.1106712,0.639046653
NDLS,2019,4.379,18.9541,84.979,36.1634,18047,"520 Zang Street, Suite D",80021,Broomfield,0,0,0,0,0,1,0,5812,NOODLES & CO,1275158,USA,29.322,378.519,10.459,9.871,0,58.034,327.948,338.584,0,0,3.606,50.571,383.291,0,0,5.961,0.04,1.647,1.647,462.411,3.242,44.134,289.827,5.54,3.61,172.03,2.58,9.65,52.68,385.44,43.93,-28.712,0.50525554,0.242357928,149.4058158,2.443010655,39.26960709,9.294719939,0.866397724,6.484902414,1.838679827,0.003561766,1.679817782,0.005983119,0.031902839,0.037318167,1.145851271,148.4531633,0
CHUY,2020,0.332,13.2104,83.594,32.4414,187775,1623 Toomey Road,78704,Austin,0,0,0,0,0,1,0,5812,CHUY'S HOLDINGS INC,1524931,USA,94.561,493.675,86.817,1.449,0,43.318,251.817,344.261,0,0,2.681,241.858,256.975,0,0,12.151,-0.18,-3.294,-3.294,320.952,0.257,19.711,222.167,26.49,2.68,446.07,1.68,1.66,194.94,355.2,16.64,51.243,2.182949351,2.066069532,147.2256881,2.479186919,165.3103892,2.207967701,0.510086595,1.041177054,47.28015564,-0.010263217,0.683061894,-0.007010412,-0.015082487,-0.167114809,12.27020445,-158.5137796,0
USNA,2020,5.165,23.156,84.979,37.8232,63863,3838 West Parkway Boulevard,84120,Salt Lake City,0,0,1,0,0,0,0,2834,USANA HEALTH SCIENCES INC,896264,USA,425.286,640.887,311.917,90.224,0,168.073,199.237,128.392,0,0.372,7.42,441.65,209.111,0,0,176.491,5.89,124.664,124.664,1134.644,0.507,21.038,21.472,77.1,7.05,516.93,8.5,68.91,351.71,187.5,21.66,257.213,2.530364782,1.897776561,145.9349196,2.501114887,2.628112157,138.8829617,0.310876956,0.451119665,348.1084813,0.109870585,1.959971222,0.215343185,0.314268428,5.925658333,20.99296511,13.01121254,0
PSMT,2020,0,14.6312,87.477,34.1012,65343,9740 Scranton Road,92121,San Diego,0,0,0,0,0,1,0,5331,PRICESMART INC,1041803,USA,699.002,1656.825,299.481,309.509,46.694,568.275,824.093,811.812,0,0.147,25.846,831.719,2713.553,0,21.426,122.911,2.55,78.109,77.267,3329.188,9.815,30.671,264.822,65.75,25.7,1296.41,20.38,331.27,797.35,2640.73,30.54,130.727,1.230041793,0.65439092,144.4960069,2.52602136,8.469544102,43.09558999,0.497392905,0.990831038,12.52277127,0.023461877,2.254604188,0.052897247,0.095894035,2.546672753,27.11743993,25.81800113,0.325870722
CHUY,2019,0.332,13.2104,83.594,32.4414,187775,1623 Toomey Road,78704,Austin,0,0,0,0,0,1,0,5812,CHUY'S HOLDINGS INC,1524931,USA,16.783,446.069,10.074,1.657,0,36.199,251.133,380.049,0,0,1.676,194.936,355.203,0,0,4.051,0.37,6.215,6.215,426.357,0.122,16.636,224.848,25.92,1.68,277.08,4.25,1.54,193.85,333.86,16.86,-19.416,0.463631592,0.324594602,143.7966273,2.538307099,222.2101971,1.642588886,0.562991376,1.28828436,33.20491803,0.014576986,1.179167779,0.017188712,0.031971316,0.373587401,11.71772061,69.38135479,0
HIBB,2020,0.332,12.757,87.477,33.5882,63763,2700 Milan Court,35211,Birmingham,0,0,0,0,0,1,0,5940,HIBBETT INC,1017480,USA,439.8,808.166,209.29,202.038,0.219,225.32,417.13,326.668,0,0,11.905,391.036,912.126,0,0,141.443,4.49,74.266,74.266,1419.657,0.563,16.479,248.301,56.45,11.91,769.76,8.48,288.01,328.98,799.83,16.86,214.48,1.951890644,0.982664655,139.2503188,2.621178919,3.722598603,98.04978698,0.516143961,1.066730429,251.2309059,0.052312636,1.799396169,0.094131157,0.20628986,4.506705504,23.72935251,12.52577963,0
HIBB,2019,0.332,12.757,87.477,33.5882,63763,2700 Milan Court,35211,Birmingham,0,0,0,0,0,1,0,5940,HIBBETT INC,1017480,USA,372.512,769.759,66.078,288.011,0.554,233.661,440.776,332.361,0,0,8.477,328.983,799.827,0,0,54.505,1.54,27.344,27.344,1184.234,1.014,16.86,253.938,24.78,8.48,546.07,9.47,280.29,336.05,677.14,18.3,138.851,1.59424123,0.321444315,131.948078,2.766239611,2.814800607,129.6717071,0.572615585,1.339813911,53.75246548,0.023090031,1.799981609,0.041561631,0.082233513,1.621826809,19.51263345,15.27906671,0
KMX,2019,2.084,22.5816,87.477,37.4409,64410,12800 Tuckahoe Creek Parkway,23238,Richmond,0,0,0,0,0,1,0,5500,CARMAX INC,1170010,USA,3663.687,21082.182,58.211,2846.416,481.043,1534.707,17313.307,3518.196,0,0,191.09,3768.875,18055.147,0,0,1238.303,5.39,888.433,888.433,21424.117,90.007,163.081,15933.516,87.31,191.09,18717.87,139.85,2519.46,3357.03,16056.51,167.48,2128.98,2.387222447,0.475884973,129.4743277,2.819091681,6.72961768,54.23785085,0.821229368,4.593759942,13.75785217,0.041468827,1.076587387,0.044644816,0.24935303,5.447802012,23.11044818,16.02664704,0
AMTX,2019,0,10.7013,83.594,31.4958,162453,"20400 Stevens Creek Boulevard, Suite 700",95014,Cupertino,0,0,1,0,0,0,0,2860,AEMETIS INC,738214,USA,12.576,99.896,0.656,6.518,0,57.819,254.268,84.783,0.001,0,2.036,-154.372,184.866,0,0,-4.931,-1.75,-35.716,-35.716,201.998,28.012,20.57,220.228,0.83,2.04,91.82,1.1,6.13,-110.84,161.54,20.35,-45.243,0.217506356,0.04655909,128.6611465,2.836909276,29.23244782,12.48612509,2.54532714,-1.647112171,-0.176031701,-0.176813632,2.107262826,-0.372592794,0.269339246,-1.736315022,-7.50476422,-0.478023855,0
DDS,2019,15.131,10.5804,76.761,34.2118,3964,1600 Cantrell Road,72201,Little Rock,0,0,0,0,0,1,0,5311,DILLARDS INC -CL A,28917,USA,1848.082,3430.257,277.077,1465.007,0,930.82,1806.998,1506.1,0,0,48.339,1623.259,4235.978,0,12.593,167.492,4.38,111.081,111.081,6343.211,47.886,24.197,614.96,60.72,48.34,3431.37,51.02,1528.42,1678.38,4291.52,26.35,917.262,1.985434348,0.349601427,127.6813808,2.858678357,2.830186271,128.9667764,0.526782104,1.113191425,3.497723761,0.017511793,1.848894147,0.032377452,0.067288398,4.590693061,67.08513452,13.22676101,0.207394598
AMTX,2020,0,10.7013,83.594,31.4958,162453,"20400 Stevens Creek Boulevard, Suite 700",95014,Cupertino,0,0,1,0,0,0,0,2860,AEMETIS INC,738214,USA,8.683,125.139,0.592,3.969,0,102.235,309.883,112.769,0.001,1.26,1.821,-184.744,149.638,0,0,-6.07,-1.74,-36.659,-36.659,165.557,31.017,22.83,269.368,2.49,0.56,99.9,2.04,6.52,-154.37,184.87,20.57,-93.552,0.084931775,0.011277938,127.3515385,2.866082376,28.53236724,12.79248921,2.476310343,-1.677364353,-0.195699133,-0.221428269,1.471362742,-0.325801306,0.21620458,-1.605738064,-8.092203241,-1.55068878,0
CASY,2019,2.416,12.5756,87.477,34.2219,2807,One SE Convenience Boulevard,50021,Ankeny,0,0,0,0,0,1,0,5412,CASEYS GENERAL STORES INC,726958,USA,387.25,3943.892,78.275,236.007,0,1063.428,2300.687,3344.944,0,0,63.167,1643.205,5967.612,0,47.096,395.467,7.14,263.846,263.846,8112.296,59.537,36.806,1284.782,151.41,63.17,3731.38,66.75,273.04,1408.77,6410.19,36.67,-676.178,0.364152533,0.133005714,124.8814039,2.922773035,23.44621224,15.56754653,0.583354463,1.400121713,6.64237365,0.032524208,2.11387844,0.068752221,0.172901809,7.168559474,44.6450307,21.12139832,0.311049468
FLWS,2019,1.752,13.6034,83.594,33.045,122519,"Two Jericho Plaza, Suite 200",11753,Jericho,0,0,0,0,0,1,0,5961,1-800-FLOWERS.COM,1084869,USA,303.238,606.44,172.923,92.361,0,127.497,263.729,166.681,0,2.777,12.374,342.711,722.502,0,0,45.108,0.54,34.766,34.766,1248.623,2.769,64.418,96.973,18.88,9.6,570.89,10.52,88.83,314.9,662.9,64.64,175.741,2.378393217,1.431563096,124.1175944,2.940759541,7.975031872,45.76784217,0.434880615,0.769537599,16.29035753,0.027843472,2.121109629,0.059059057,0.105734241,0.539693874,5.320112391,34.98279468,0
DRI,2020,17.125,35.5804,87.477,46.776,31846,1000 Darden Center Drive,32837,Orlando,0,0,0,0,0,1,0,5812,DARDEN RESTAURANTS INC,940944,USA,1871.1,10656.1,1214.7,190.8,0,1848.3,7843,6645.6,0,0.2,68.2,2813.1,5702.6,0,203.9,687.3,4.83,629.3,629.3,7196.1,68.4,130.763,5757.7,143.23,68,9946.1,48.6,206.9,2331.2,6398.5,129.89,22.8,1.01233566,0.693989071,123.432247,2.957087867,28.67789791,12.72757163,0.73601036,2.788027443,10.04824561,0.087450147,0.69857588,0.061090563,0.244659137,4.81252342,21.51296621,29.76193308,1.423584445
CBRL,2019,17.457,22.4002,84.979,41.6658,3570,305 Hartmann Drive,37087-4779,Lebanon,0,0,0,0,0,1,0,5812,CRACKER BARREL OLD CTRY STOR,1067294,USA,242.38,1581.225,36.884,154.958,0,392.474,976.515,1168.965,0,0,32.206,604.71,2528.987,0,194.558,282.844,9.29,223.401,223.401,3071.951,16.322,24.049,400,173.71,32.21,1527.36,19.5,156.25,581.78,2499.83,24.01,-150.094,0.617569571,0.176037139,118.8145813,3.072013518,16.25271201,22.45779041,0.617568657,1.61484844,17.3290038,0.07272284,1.976430434,0.143731634,0.376574602,9.289409123,25.14491247,18.69979002,1.120016119
NCLH,2019,9.151,12.6965,89.856,37.3001,104432,7665 Corporate Center Drive,33126,Miami,0,0,0,1,0,0,0,4400,NORWEGIAN CRUISE LINE HLDGS,1513761,BMU,730.145,16684.599,252.876,95.427,0,3584.39,10169.02,13371.941,0,10.6,75.109,6515.579,3663.261,0,0,1208.169,4.33,930.228,930.228,6462.376,289.091,213.082,7048.062,58.41,64.51,15205.97,45.65,90.2,5963,3377.08,217.65,-2854.245,0.203701327,0.088546447,117.3270879,3.110961046,39.46905353,9.247751525,0.60948543,1.56072392,4.179199629,0.143945199,0.405284459,0.058338752,0.149091976,4.365586957,30.57780103,13.37964415,0
ROST,2020,15.615,19.1959,84.979,39.9859,9248,5130 Hacienda Drive,94568-7579,Dublin,0,0,0,0,0,1,0,5651,ROSS STORES INC,745732,USA,6692.491,12717.867,4819.293,1508.982,85.711,3967.033,9427.227,5795.315,0,0,115.067,3290.64,9335.329,0,101.404,568.663,0.24,85.382,85.382,12531.565,100.315,356.503,5732.799,111.29,115.07,9348.37,102.24,1832.34,3359.25,11185.3,356.78,2725.458,1.687026803,1.26544725,115.3335327,3.164734413,5.587805665,65.3208114,0.741258499,2.864861243,5.668773364,0.006813355,1.135813505,0.007738701,0.025679222,0.239498686,9.230329058,464.6789589,0.911169018
