Ticker,YEAR,Environmental ,Social,Governance,ESG_score,GVKEY,Address Line 1,Postal Code,City,Mining,Construction,Manufactuing,Transportation Public Utilities,Wholesale Trade,Retail Trade,Services,SIC code,Company Name,CIK Number,Country Code,Current Assets,Assets,Cash,Inventory,Current Marketable Securities,Current Liabilities,Liabilities,"Property, Plant and Equipment",Preferred/Preference Stock,Allowance for Doubtful Receivables ,Total Receivables ,Stockholders Equity,Cost of Goods Sold,Dividends - Preferred/Preference,Dividends ,Earnings Before Interest and Taxes,Earnings Per Share (Basic),Net Income (Loss),Net Income Adjusted for common stocks,Sales/Turnover (Net),Interest and Related Expense,Common Shares Outstanding,Total Debt Including Current,Price Close - Annual -,Net receivables,Total assets last year ,Net receivables last year,Inventory last year,Stockholder equity last year,Cost of Goods Sold last year,Common shares outstanding last year,Working capital,Current ratio,Quick ratio,Accounts receivable turnover,Average days to collect receivables,Inventory turnover,Average days to collect inventory,Debt to assets,Debt to equity,Number of times interest is earned,Net margin (or return on sales),Asset turnover ratio,Return on investment,Return on equity,Earnings per share,Book value per share,Price-Earnings (P/E) ratio,Dividend yield
ST,2019,0,15.1451,87.477,34.2722,183942,529 Pleasant Street,2703,Attleboro,0,0,1,0,0,0,0,3823,SENSATA TECHNOLOGES HLDG PLC,1477294,GBR,1965.652,6834.519,774.119,506.678,0,634.746,4260.764,886.331,0,0,557.874,2573.755,2151.571,0,0,610.445,1.76,282.714,282.714,3450.631,158.554,157.828,3312.613,53.87,557.87,6797.69,581.77,492.32,2608.43,2160.85,164.15,1330.906,3.096753662,2.098466158,6.055650907,60.27428027,4.307458073,84.7367505,0.623418268,1.655466041,3.850076315,0.081931102,0.506246787,0.041477357,0.10910996,1.791279114,16.3073409,30.07348189,0
A,2019,51.706,29.9879,85.461,55.759,126554,5301 Stevens Creek Boulevard,95051,Santa Clara,0,0,1,0,0,0,0,3826,AGILENT TECHNOLOGIES INC,1090872,USA,3189,9452,1382,679,0,2080,4704,850,0,0,930,4748,2140,0,206,1035,3.41,1071,1071,5163,74,309.071,1792,75.75,930,8541,776,638,4567,2036,317.72,1109,1.533173077,1.111538462,6.052754982,60.30311834,3.249810175,112.3142523,0.49767245,0.99073294,13.98648649,0.207437536,0.573889846,0.119046296,0.229951691,3.465223201,15.36216597,21.86006373,2.719471947
APA,2019,33.857,37.0919,93.739,54.9442,1678,"2000 Post Oak Boulevard, Suite 100",77056-4000,Houston,1,0,0,0,0,0,0,1311,APA CORP,1841666,USA,1961,18107,247,502,0,1855,13087,14158,0,88,1062,3255,4760,0,376,-2627,-9.43,-3553,-3553,6280,437,376.063,8932,25.59,974,21582,1102,401,7130,2390,374.7,106,1.057142857,0.658221024,6.050096339,60.32961783,10.54263566,34.62132353,0.722759154,4.020583717,-6.011441648,-0.565764331,0.31646048,-0.179042052,-0.684256139,-9.447885062,8.655464643,-2.708542688,14.69323955
LNN,2020,12.685,19.347,84.979,39.0605,14954,"18135 Burke Street, Suite 100",68022,Omaha,0,0,1,0,0,0,0,3523,LINDSAY CORP,836157,USA,347.935,570.526,121.403,104.792,19.511,102.395,272.008,107.038,0,2.78,85.504,298.518,309.24,0,13.645,53.311,3.57,38.629,38.629,474.692,4.759,10.835,146.862,99.93,82.72,500.31,74.22,92.29,268.21,315.45,10.79,245.54,3.397968651,2.184071488,6.049343698,60.33712386,3.138186136,116.3092258,0.476767054,0.911194635,11.20214331,0.081376977,0.886582072,0.072147369,0.136322892,3.565205353,27.55126904,28.02924098,0.136545582
INSP,2020,0,12.5756,83.594,32.1195,33435,"5500 Wayzata Boulevard, Suite 1600",55416,Golden Valley,0,0,1,0,0,0,0,3845,INSPIRE MEDICAL SYSTEM,1609550,USA,269.869,281.189,190.518,8.479,43.844,20.725,51.442,11.116,0,0.042,25.063,229.747,16.783,0,0,-56.208,-2.19,-57.203,-57.203,115.381,2.117,27.069,30.632,188.09,25.02,181.25,13.13,5.83,139.84,13.15,24.11,249.144,13.0214234,12.51546441,6.048807339,60.34247406,2.345796352,155.5974796,0.182944568,0.223907167,-26.5507794,-0.495774868,0.49901068,-0.247396954,-0.309550931,-2.113229155,8.487457978,-89.0059649,0
SXI,2019,14.376,16.052,87.477,39.3622,10008,"23 Keewaydin Drive, Suite 300",3079,Salem,0,0,1,0,0,0,0,3585,STANDEX INTERNATIONAL CORP,310354,USA,333.873,921.889,93.145,88.645,0,141.615,457.576,148.024,0,1.451,129.629,464.313,494.019,0,9.955,83.327,5.4,67.914,67.914,791.579,10.76,12.335,197.61,73.14,128.18,916.94,133.61,127.22,450.8,538.58,12.71,192.258,2.357610423,1.562849981,6.047434967,60.35616786,4.577110694,79.74463027,0.496346089,0.985490391,7.744144981,0.085795606,0.860959883,0.073866575,0.148427571,5.505796514,37.64191325,13.28418146,0.136108832
MOV,2020,14.376,16.052,84.287,38.2959,7951,"650 From Road, Suite 375",07652-3556,Paramus,0,0,1,0,0,0,0,3873,MOVADO GROUP INC,72573,USA,501.651,719.257,223.811,152.58,0.346,127.671,289.323,98.585,0,7.042,101.781,425.264,221.294,0,2.32,26.421,-4.8,-111.518,-111.518,506.397,1.959,23.196,105.673,20.66,94.74,847.31,72.75,171.41,526.54,309.89,23.02,373.98,3.929247832,2.497795114,6.046892352,60.3615839,1.366054508,267.192852,0.402252602,0.68033739,13.48698315,-0.220218524,0.646505384,-0.142372462,-0.234329757,-4.807639248,18.33350578,-4.297327427,0.112294288
AMAT,2020,41.981,45.526,93.739,60.4567,1704,"3050 Bowers Avenue, P.O. Box 58039",95052-3299,Santa Clara,0,0,1,0,0,0,0,3559,APPLIED MATERIALS INC,6951,USA,13369,22353,5351,3904,387,4459,11775,1856,0,30,3111,10578,9130,0,796,4475,3.95,3619,3619,17202,207,914,5707,59.23,3081,19024,2611,3474,8214,7859,916,8910,2.998205876,1.977797712,6.044272663,60.38774561,2.474925454,147.4791895,0.52677493,1.113159387,21.61835749,0.210382514,0.831476424,0.1749281,0.3851639,3.9595186,11.57330416,14.9588892,13.43913557
ZTS,2019,31.622,20.4958,84.979,45.7499,13721,10 Sylvan Way,7054,Parsippany,0,0,1,0,0,0,0,2834,ZOETIS INC,1555280,USA,4748,11545,1934,1410,0,1806,8837,2129,0,21,1086,2708,1656,0,330,2113,3.14,1500,1500,6276,236,475.528,6646,132.35,1065,10777,1012,1391,2185,1711,479.56,2942,2.629014396,1.660575858,6.043331728,60.39714786,1.182434845,308.6850845,0.765439584,3.263293944,8.953389831,0.239005736,0.562315205,0.134396559,0.613120785,3.154388385,5.694722498,41.95742053,2.493388742
GLW,2019,17.548,17.2612,87.477,40.8208,3532,One Riverfront Plaza,14831,Corning,0,0,1,0,0,0,0,3679,CORNING INC,24741,USA,7463,28898,2434,2320,0,3521,15901,15841,2300,0,1869,12907,5690,98,723,1752,1.11,960,862,11503,275,762,8252,29.11,1869,27505,1940,2037,13792,5533,788,3942,2.119568304,1.222095995,6.039905487,60.4314092,2.611888914,139.7456063,0.550245692,1.23196715,6.370909091,0.08345649,0.407886105,0.034040743,0.071912806,1.25984252,13.91994751,23.1060625,24.83682583
FORM,2019,15.615,14.3894,84.979,38.3865,148390,7005 Southfront Road,94551,Livermore,0,0,1,0,0,0,0,3825,FORMFACTOR INC,1039399,USA,419.043,839.882,144.545,83.258,78.308,136.56,198.885,90.167,0,0.222,98.768,640.997,314.489,0,0,50.603,0.52,39.346,39.346,589.464,1.915,75.765,94.124,25.97,98.55,728.22,96.71,77.71,580.16,284.49,74.14,282.483,3.068563269,2.353536907,6.037734303,60.45314048,3.907472293,93.41077112,0.236801122,0.310274463,26.42454308,0.066748775,0.75181844,0.05018296,0.064440526,0.519316307,8.460331288,50.008058,0
CMI,2019,69.586,30.6227,93.739,64.6917,3650,"500 Jackson Street, Box 3005",47202-3005,Columbus,0,0,1,0,0,0,0,3510,CUMMINS INC,26172,USA,9387,19737,1129,3486,341,6260,11272,4741,0,19,3861,7507,16942,0,761,2505,14.54,2260,2260,23571,123,150.5,2108,178.96,3842,19062,3968,3759,7348,17446,157.6,3127,1.499520767,0.8485623,6.036107554,60.46943278,4.676880607,78.04347185,0.571110098,1.501531904,20.36585366,0.095880531,1.215031315,0.116497848,0.304274655,15.0166113,49.88039867,11.91746903,4.252346893
BSX,2020,52.945,39.601,91.24,61.3017,25279,300 Boston Scientific Way,01752-1234,Marlborough,0,0,1,0,0,0,0,3845,BOSTON SCIENTIFIC CORP,885725,USA,6694,30777,1734,1351,208,3681,15451,2542,0,105,1531,15326,2969,33,33,1128,-0.08,-82,-115,9913,361,1416.622,9614,35.95,1426,30565,1859,1579,13877,2719,1394.92,3013,1.818527574,0.914968758,6.035312024,60.47740341,2.02662116,180.1027282,0.502030737,1.008156075,3.12465374,-0.008271966,0.32320433,-0.002673535,-0.005615861,-0.057884178,10.81869405,-621.0678159,0.917941586
MU,2020,64.12,30.1693,87.477,60.6277,7343,8000 South Federal Way,83716-9632,Boise,0,0,1,0,0,0,0,3674,MICRON TECHNOLOGY INC,723125,USA,17965,53678,7624,5607,518,6635,14682,31615,0,0,3912,38996,9313,0,0,3071,2.42,2687,2687,21435,271,1113,7176,45.51,3912,48887,3195,5118,35881,7364,1106,11330,2.707611153,1.816729465,6.032081047,60.50979706,1.736689977,210.1699238,0.273519878,0.376500154,11.33210332,0.125355727,0.417978843,0.052396042,0.071771038,2.414195867,35.03683738,18.85099739,0
MGM,2020,32.045,31.0157,93.739,52.3187,14418,3600 Las Vegas Boulevard South,89109,Las Vegas,0,0,0,0,0,0,1,7990,MGM RESORTS INTERNATIONAL,789570,USA,5950.659,36494.934,5101.637,88.323,0,1856.583,25248.484,22918.785,0,126.589,559.917,6504.726,3452.711,0,77.606,-2062.916,-2.02,-997.204,-997.204,5162.082,679.251,494.318,21013.124,31.51,433.33,33876.36,1280.32,102.89,7727.27,7603.49,503.15,4094.076,3.205167235,2.981264506,6.024663146,60.58430009,36.11376842,10.10694857,0.691835311,3.881559961,-3.037045216,-0.193178644,0.146709879,-0.028341215,-0.140135509,-2.017332972,13.15899077,-15.61963267,2.462900666
IP,2019,34.34,43.6215,87.477,55.1856,6104,6400 Poplar Avenue,38197,Memphis,0,0,1,0,0,0,0,2631,INTL PAPER CO,51434,USA,6639,33471,511,2208,0,8646,25753,13829,0,73,3673,7713,16886,0,811,2545,3.1,1225,1225,22376,705,392.116,16508,46.05,3600,33576,3835,2241,7362,17248,400.61,-2007,0.767869535,0.475479991,6.019098857,60.64030658,7.590919308,48.08376762,0.769412327,3.338908337,3.609929078,0.054746157,0.667472072,0.036541531,0.16252073,3.124075529,19.67019963,14.74036065,17.61129207
